wp_user_id,timestamp,statement,jp_choices_questions.answer,jp_tests_details.answer,is_correct,feedback,level,分野
1,2024/4/10 13:18,修理すれば(　　)けれど、古いから捨てよう。,使えないこともない,使ってはならな,0,,N2,文法
1,2024/4/10 13:18,部長は最近(　　)っぽくなったような気がする。,怒り,怒る,0,正解は「怒り」です。「?っぽい」という接尾語は、「?のような」や「?風の」という意味で使われます。この文では、「部長は最近、怒っているような（怒りがあるような）様子だ」という意味になります。,N2,文法
1,2024/4/10 13:18,バッテリーに問題があるとわかった(　　　)このＰＣを売り出すわけにはいかない。,以上は,あげく,0,　　　,N2,文法
1,2024/4/10 13:18,マラソン大会で優勝を狙うなら、一流のコーチ(　　)指導を受けるのが良い。,のもとで,のもとで,1,　　　正解は「のもとで」です。「のもとで」という表現は、「?の指導や管理の下で」という意味です。この文では、「優勝を目指すなら、一流のコーチの指導の下でトレーニングするのが良い」という意味です。,N2,文法
1,2024/4/10 13:18,たくさんあります。どうぞ好きな(　　)食べて下さい。,だけ,ぐらい,0,　　　,N2,文法
1,2024/4/10 13:18,山田さんの名前は、国内では(　　)、海外でも知られている。,もとより,ものの,0,,N2,文法
1,2024/4/10 13:18,いつも仕事がはやい佐藤さんの(　　　)、会議の資料はもうできていることでしょう。,ことだから,だけあって,0,　,N2,文法
1,2024/4/10 13:18,店に客を呼ぶために有名人に一日だけ店長(　　)来てもらった。,として,,0,"「～として」という日本語は、～の立場で、～の場合にはという意味です。
例「兄として、弟を助けてあげたい。」",N2,文法
1,2024/4/10 13:18,このごろ太り(　　)なので、駅までバスに乗らず、歩くことにした。,気味,気味,1,,N2,文法
1,2024/4/16 9:01,経験の（有無）は問いません。,うむ,うむ,1,"有無（うむ）
日本語：あるかないかのこと。
英語：The presence or absence of something.",N2,漢字
1,2024/4/16 9:01,写真は実物とは少し（異なります）。,ことなります,ことなります,1,Example: 『カタログの色と実際の商品は少し異なります。』,N2,漢字
1,2024/4/16 9:01,本日は（お招き）頂きまして、ありがとうございます。,おまねき,おまねき,1,Example: 『彼女の結婚式にお招きされた。』,N2,漢字
1,2024/4/16 9:01,木の（実）を拾い集める。,み,み,1,"実（み）
日本語：木や草などがつける果物のこと。
英語：The fruit or seed of a tree or plant.",N2,漢字
1,2024/4/16 9:01,料理の手間を（省く）ために電子レンジを活用する。,はぶく,はぶく,1,"省く（はぶく）
日本語：必要でないものを取り除くこと。
英語：To eliminate something unnecessary.",N2,漢字
1,2024/4/16 9:01,放置自転車は市が（処分）します。,しょぶん,しょぶん,1,"処分（しょぶん）
日本語：不要なものを片付けること。
英語：The disposal of something unnecessary.",N2,漢字
1,2024/4/16 9:01,（入居者）を募集しています。,にゅうきょしゃ,にゅうきょしゃ,1,"入居者（にゅうきょしゃ）
日本語：ある場所に住む人のこと。
英語：A person who lives in a certain place.",N2,漢字
1,2024/4/16 9:01,（物置）に眠っている不用品を回収いたします。,ものおき,ものおき,1,"物置（ものおき）
日本語：不要なものや道具を入れておく部屋や小屋。
英語：A room or shed where unused items or tools are stored.",N2,漢字
1,2024/4/16 9:01,この（辺り）に財布が落ちていませんでしたか。,あたり,あたり,1,"辺り（あたり）
日本語：その周りの場所のこと。
英語：The area around a place.",N2,漢字
1,2024/4/16 9:01,（迷子）のお知らせをいたします。,まいご,まいご,1,Example: 『迷子の犬を見つけたら、最寄りの警察署へ連絡してください。』,N2,漢字
133,2024/4/1 15:08,あの きの （した）で やすみましょう。,下,下,1,,N5,漢字
133,2024/4/1 15:08,あるいて　（学校）へ　いきます。,がっこう,がっこう,1,,N5,漢字
133,2024/4/1 15:08,どうぞ　（はいって）ください。,入って,入って,1,,N5,漢字
133,2024/4/1 15:08,（先週）　テストが　ありました。,せんしゅう,せんしゅう,1,,N5,漢字
133,2024/4/1 15:08,（きたぐち）は　どちらですか。,北口,北口,1,,N5,漢字
133,2024/4/1 15:08,あした （かいしゃ）へ きてください。,会社,会社,1,,N5,漢字
133,2024/4/1 15:08,（先月） きょうとへ いきました。,せんげつ,ぜんげつ,0,,N5,漢字
133,2024/4/1 15:08,これは　（新しい）　かばんです。,あたらしい,あたらしい,1,,N5,漢字
133,2024/4/1 15:08,プールで およぐと （目）が いたくなります。,め,め,1,,N5,漢字
133,2024/4/1 15:08,すこし （やすみ）ましょう。,休み,休み,1,,N5,漢字
